meter_code,type,fab,fab_group,meter_name,wisdom_batch_id
DB_MP241(FAB2)2F-TDB-MP1,製程用電,Fab2,Fab12,Fab2棟設備,20220519095229_02e064cd16a944128c90118f8081c77e
FFU1-1,空調用電,Fab3,Fab3,FFU（1F無塵室）,20220519095229_02e064cd16a944128c90118f8081c77e
DB_MP547(FAB2)ML31,照明插座,Fab2,Fab12,照明,20220519095229_02e064cd16a944128c90118f8081c77e
UPS-ZP1-1,製程用電,Fab3,Fab3,1F無塵室設備,20220519095229_02e064cd16a944128c90118f8081c77e
DB_MP257(FAB2)2F-TDB-21,製程用電,Fab2,Fab12,Fab2棟設備,20220519095229_02e064cd16a944128c90118f8081c77e
MP255,製程用電,Fab2,Fab12,2F設備,20220519095229_02e064cd16a944128c90118f8081c77e
2*250空壓機,QE用電,Fab1,Fab12,IQC,20220519095229_02e064cd16a944128c90118f8081c77e
MP41,,Fab3,Fab3,,20220519095229_02e064cd16a944128c90118f8081c77e
MP144,空調用電,Fab2,Fab12,1F空調,20220519095229_02e064cd16a944128c90118f8081c77e
DB_MP32(FAB2)CR6,製程用電,Fab2,Fab12,Fab2棟設備,20220519095229_02e064cd16a944128c90118f8081c77e
DB_MP22(FAB2)TR-CR2,製程用電,Fab2,Fab12,Fab2棟設備,20220519095229_02e064cd16a944128c90118f8081c77e
MP52,空調用電,Fab2,Fab12,4號冰機,20220519095229_02e064cd16a944128c90118f8081c77e
DB_MP265(FAB2)DT4,基礎用電,Fab2,Fab12,電梯,20220519095229_02e064cd16a944128c90118f8081c77e
ZP1-5,製程用電,Fab3,Fab3,1F無塵室設備,20220519095229_02e064cd16a944128c90118f8081c77e
DB_MP534(FAB2)PC3,空調用電,Fab2,Fab12,空調水泵,20220519095229_02e064cd16a944128c90118f8081c77e
MP532,空調用電,Fab2,Fab12,6號冰機,20220519095229_02e064cd16a944128c90118f8081c77e
MP465,基礎用電,Fab2,Fab12,電池,20220519095229_02e064cd16a944128c90118f8081c77e
DB_MP142(FAB2)UPS,製程用電,Fab2,Fab12,UPS,20220519095229_02e064cd16a944128c90118f8081c77e
MP357,製程用電,Fab2,Fab12,3F設備,20220519095229_02e064cd16a944128c90118f8081c77e
MP284,空調用電,Fab2,Fab12,3F FFU,20220519095229_02e064cd16a944128c90118f8081c77e
DB_MP261(FAB2)2F-PDP-MP2,製程用電,Fab2,Fab12,風淋門/烘乾機,20220519095229_02e064cd16a944128c90118f8081c77e
MP466,基礎用電,Fab2,Fab12,UPS,20220519095229_02e064cd16a944128c90118f8081c77e
MP547,照明插座,Fab2,Fab12,照明,20220519095229_02e064cd16a944128c90118f8081c77e
MP254,製程用電,Fab2,Fab12,2F設備,20220519095229_02e064cd16a944128c90118f8081c77e
K105(TR2),高壓變壓器,Fab3,Fab3,高壓變壓器2,20220519095229_02e064cd16a944128c90118f8081c77e
PC2,空調用電,Fab1,Fab12,PC2,20220519095229_02e064cd16a944128c90118f8081c77e
TR3,高壓變壓器,Fab2,Fab12,高壓變壓器,20220519095229_02e064cd16a944128c90118f8081c77e
ZFL-3F（TR2）照明及FFU插座,,Fab3,Fab3,3F無塵室設備,20220519095229_02e064cd16a944128c90118f8081c77e
DB_MP551(FAB2)MIS,MIS用電,Fab2,Fab12,MIS,20220519095229_02e064cd16a944128c90118f8081c77e
DB_MP351(FAB2)3F-TDB-22,製程用電,Fab2,Fab12,Fab2棟設備,20220519095229_02e064cd16a944128c90118f8081c77e
MP443,空調用電,Fab2,Fab12,空調水泵,20220519095229_02e064cd16a944128c90118f8081c77e
LP3-2（TR1）維修室照明,空調用電,Fab3,Fab3,製程用電FFU,20220519095229_02e064cd16a944128c90118f8081c77e
DB_MP124(FAB2)1F-TDB-06,製程用電,Fab2,Fab12,Fab2棟設備,20220519095229_02e064cd16a944128c90118f8081c77e
DB_MP533(FAB2)PC2,空調用電,Fab2,Fab12,空調水泵,20220519095229_02e064cd16a944128c90118f8081c77e
MP244,製程用電,Fab2,Fab12,2F設備,20220519095229_02e064cd16a944128c90118f8081c77e
MP443（MAU東2層),空調用電,Fab3,Fab3,MAU棟2層,20220519095229_02e064cd16a944128c90118f8081c77e
